Domain,Type,TLD Manager,RDAP URLs,DNSSEC,Search
.aaa,generic,"American Automobile Association, Inc.",https://rdap.nic.aaa/,Yes,Yes
.aarp,generic,AARP,https://rdap.nic.aarp/,Yes,Yes
.abarth,generic,Not assigned,,No,Yes
.abb,generic,ABB Ltd,https://rdap.identitydigital.services/rdap/,Yes,Yes
.abbott,generic,"Abbott Laboratories, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.abbvie,generic,AbbVie Inc.,https://rdap.nominet.uk/abbvie/,Yes,Yes
.abc,generic,"Disney Enterprises, Inc.",https://rdap.identitydigital.services/rdap/,Yes,Yes
.able,generic,Able Inc.,https://rdap.nic.able/,Yes,Yes
.abogado,generic,"Registry Services, LLC",https://rdap.nic.abogado/,Yes,Yes
.abudhabi,generic,Abu Dhabi Systems and Information Centre,https://rdap.nic.abudhabi/,Yes,Yes
.ac,country-code,Internet Computer Bureau Limited,,Yes,Yes
.academy,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.accenture,generic,Accenture plc,https://rdap.identitydigital.services/rdap/,Yes,Yes
.accountant,generic,dot Accountant Limited,https://rdap.nic.accountant/,Yes,Yes
.accountants,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG,https://rdap.nic.aco/,Yes,Yes
.active,generic,Not assigned,,No,Yes
.actor,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.ad,country-code,Andorra Telecom,https://rdap.nic.ad/,Yes,Yes
.adac,generic,Not assigned,,No,Yes
.ads,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/,Yes,Yes
.adult,generic,ICM Registry AD LLC,https://rdap.nic.adult/,Yes,Yes
.ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),,No,Yes
.aeg,generic,Aktiebolaget Electrolux,https://rdap.identitydigital.services/rdap/,Yes,Yes
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),https://rdap.identitydigital.services/rdap/,Yes,Yes
.aetna,generic,Aetna Life Insurance Company,https://rdap.nic.aetna/,Yes,Yes
.af,country-code,Ministry of Communications and IT,,Yes,Yes
.afamilycompany,generic,Not assigned,,No,Yes
.afl,generic,Australian Football League,https://rdap.nic.afl/,Yes,Yes
.africa,generic,ZA Central Registry NPC trading as Registry.Africa,https://rdap.nic.africa/rdap/,Yes,Yes
.ag,country-code,UHSA School of Medicine,,Yes,Yes
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation),https://rdap.identitydigital.services/rdap/,Yes,Yes
.agency,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.ai,country-code,Government of Anguilla,https://rdap.identitydigital.services/rdap/,Yes,Yes
.aig,generic,"American International Group, Inc.",https://rdap.nic.aig/,Yes,Yes
.aigo,generic,Not assigned,,No,Yes
.airbus,generic,Airbus S.A.S.,https://rdap.identitydigital.services/rdap/,Yes,Yes
.airforce,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/,Yes,Yes
.airtel,generic,Bharti Airtel Limited,https://tld-rdap.verisign.com/airtel/v1/,Yes,Yes
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation),https://rdap.identitydigital.services/rdap/,Yes,Yes
.al,country-code,Electronic and Postal Communications Authority - AKEP,,No,Yes
.alfaromeo,generic,Not assigned,,No,Yes
.alibaba,generic,Alibaba Group Holding Limited,https://rdap.identitydigital.services/rdap/,Yes,Yes
