Domain,DNSSEC
aaa,Yes
aarp,Yes
abb,Yes
abbott,Yes
abbvie,Yes
abc,Yes
able,Yes
abogado,Yes
abudhabi,Yes
ac,Yes
academy,Yes
accenture,Yes
accountant,Yes
accountants,Yes
aco,Yes
actor,Yes
ad,Yes
ads,Yes
adult,Yes
aeg,Yes
aero,Yes
aetna,Yes
af,Yes
afl,Yes
africa,Yes
ag,Yes
agakhan,Yes
agency,Yes
ai,Yes
aig,Yes
airbus,Yes
airforce,Yes
airtel,Yes
akdn,Yes
alibaba,Yes
alipay,Yes
allfinanz,Yes
allstate,Yes
ally,Yes
alsace,Yes
alstom,Yes
am,Yes
amazon,Yes
americanexpress,Yes
americanfamily,Yes
amex,Yes
amfam,Yes
amica,Yes
amsterdam,Yes
analytics,Yes
android,Yes
anquan,Yes
anz,Yes
aol,Yes
apartments,Yes
app,Yes
apple,Yes
aquarelle,Yes
ar,Yes
arab,Yes
aramco,Yes
archi,Yes
army,Yes
arpa,Yes
art,Yes
arte,Yes
asda,Yes
asia,Yes
associates,Yes
at,Yes
athleta,Yes
attorney,Yes
au,Yes
auction,Yes
audi,Yes
audible,Yes
audio,Yes
auspost,Yes
author,Yes
auto,Yes
autos,Yes
aw,Yes
aws,Yes
ax,Yes
axa,Yes
az,Yes
azure,Yes
baby,Yes
baidu,Yes
banamex,Yes
band,Yes
bank,Yes
bar,Yes
barcelona,Yes
barclaycard,Yes
barclays,Yes
barefoot,Yes
bargains,Yes
baseball,Yes
basketball,Yes
bauhaus,Yes
bayern,Yes
bbc,Yes
bbt,Yes
bbva,Yes
bcg,Yes
bcn,Yes
bd,Yes
be,Yes
beats,Yes
beauty,Yes
beer,Yes
berlin,Yes
best,Yes
bestbuy,Yes
bet,Yes
bf,Yes
bg,Yes
bh,Yes
bharti,Yes
bible,Yes
bid,Yes
bike,Yes
bing,Yes
bingo,Yes
bio,Yes
biz,Yes
bj,Yes
black,Yes
blackfriday,Yes
blockbuster,Yes
blog,Yes
bloomberg,Yes
blue,Yes
bm,Yes
bms,Yes
bmw,Yes
bn,Yes
bnpparibas,Yes
boats,Yes
boehringer,Yes
bofa,Yes
bom,Yes
bond,Yes
boo,Yes
book,Yes
booking,Yes
bosch,Yes
bostik,Yes
boston,Yes
bot,Yes
boutique,Yes
box,Yes
br,Yes
bradesco,Yes
bridgestone,Yes
broadway,Yes
broker,Yes
brother,Yes
brussels,Yes
bt,Yes
build,Yes
builders,Yes
business,Yes
buy,Yes
buzz,Yes
bv,Yes
bw,Yes
by,Yes
bz,Yes
bzh,Yes
ca,Yes
cab,Yes
cafe,Yes
cal,Yes
call,Yes
calvinklein,Yes
cam,Yes
camera,Yes
camp,Yes
canon,Yes
capetown,Yes
capital,Yes
capitalone,Yes
car,Yes
caravan,Yes
cards,Yes
care,Yes
career,Yes
careers,Yes
cars,Yes
casa,Yes
case,Yes
cash,Yes
casino,Yes
cat,Yes
catering,Yes
catholic,Yes
cba,Yes
cbn,Yes
cbre,Yes
cc,Yes
center,Yes
ceo,Yes
cern,Yes
cfa,Yes
cfd,Yes
ch,Yes
chanel,Yes
channel,Yes
charity,Yes
chase,Yes
chat,Yes
cheap,Yes
chintai,Yes
christmas,Yes
chrome,Yes
church,Yes
ci,Yes
cipriani,Yes
circle,Yes
cisco,Yes
citadel,Yes
citi,Yes
citic,Yes
city,Yes
cl,Yes
claims,Yes
cleaning,Yes
click,Yes
clinic,Yes
clinique,Yes
clothing,Yes
cloud,Yes
club,Yes
clubmed,Yes
cm,Yes
cn,Yes
co,Yes
coach,Yes
codes,Yes
coffee,Yes
college,Yes
cologne,Yes
com,Yes
commbank,Yes
community,Yes
company,Yes
compare,Yes
computer,Yes
comsec,Yes
condos,Yes
construction,Yes
consulting,Yes
contact,Yes
contractors,Yes
cooking,Yes
cool,Yes
coop,Yes
corsica,Yes
country,Yes
coupon,Yes
coupons,Yes
courses,Yes
cpa,Yes
cr,Yes
credit,Yes
creditcard,Yes
creditunion,Yes
cricket,Yes
crown,Yes
crs,Yes
cruise,Yes
cruises,Yes
cuisinella,Yes
cx,Yes
cy,Yes
cymru,Yes
cyou,Yes
cz,Yes
dad,Yes
dance,Yes
data,Yes
date,Yes
dating,Yes
datsun,Yes
day,Yes
dclk,Yes
