Domain,Type,TLD Manager,RDAP URLs
.aaa,generic,"American Automobile Association, Inc.",https://rdap.nic.aaa/
.aarp,generic,AARP,https://rdap.nic.aarp/
.abarth,generic,Not assigned,
.abb,generic,ABB Ltd,https://rdap.identitydigital.services/rdap/
.abbott,generic,"Abbott Laboratories, Inc.",https://rdap.identitydigital.services/rdap/
.abbvie,generic,AbbVie Inc.,https://rdap.nominet.uk/abbvie/
.abc,generic,"Disney Enterprises, Inc.",https://rdap.identitydigital.services/rdap/
.able,generic,Able Inc.,https://rdap.nic.able/
.abogado,generic,"Registry Services, LLC",https://rdap.nic.abogado/
.abudhabi,generic,Abu Dhabi Systems and Information Centre,https://rdap.nic.abudhabi/
.ac,country-code,Internet Computer Bureau Limited,
.academy,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.accenture,generic,Accenture plc,https://rdap.identitydigital.services/rdap/
.accountant,generic,dot Accountant Limited,https://rdap.nic.accountant/
.accountants,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.aco,generic,ACO Severin Ahlmann GmbH & Co. KG,https://rdap.nic.aco/
.active,generic,Not assigned,
.actor,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.ad,country-code,Andorra Telecom,https://rdap.nic.ad/
.adac,generic,Not assigned,
.ads,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.adult,generic,ICM Registry AD LLC,https://rdap.nic.adult/
.ae,country-code,Telecommunications and Digital Government Regulatory Authority (TDRA),
.aeg,generic,Aktiebolaget Electrolux,https://rdap.identitydigital.services/rdap/
.aero,sponsored,Societe Internationale de Telecommunications Aeronautique (SITA INC USA),https://rdap.identitydigital.services/rdap/
.aetna,generic,Aetna Life Insurance Company,https://rdap.nic.aetna/
.af,country-code,Ministry of Communications and IT,
.afamilycompany,generic,Not assigned,
.afl,generic,Australian Football League,https://rdap.nic.afl/
.africa,generic,ZA Central Registry NPC trading as Registry.Africa,https://rdap.nic.africa/rdap/
.ag,country-code,UHSA School of Medicine,
.agakhan,generic,Fondation Aga Khan (Aga Khan Foundation),https://rdap.identitydigital.services/rdap/
.agency,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.ai,country-code,Government of Anguilla,https://rdap.identitydigital.services/rdap/
.aig,generic,"American International Group, Inc.",https://rdap.nic.aig/
.aigo,generic,Not assigned,
.airbus,generic,Airbus S.A.S.,https://rdap.identitydigital.services/rdap/
.airforce,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.airtel,generic,Bharti Airtel Limited,https://tld-rdap.verisign.com/airtel/v1/
.akdn,generic,Fondation Aga Khan (Aga Khan Foundation),https://rdap.identitydigital.services/rdap/
.al,country-code,Electronic and Postal Communications Authority - AKEP,
.alfaromeo,generic,Not assigned,
.alibaba,generic,Alibaba Group Holding Limited,https://rdap.identitydigital.services/rdap/
.alipay,generic,Alibaba Group Holding Limited,https://rdap.identitydigital.services/rdap/
.allfinanz,generic,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,https://rdap.centralnic.com/allfinanz/
.allstate,generic,Allstate Fire and Casualty Insurance Company,https://rdap.identitydigital.services/rdap/
.ally,generic,Ally Financial Inc.,https://rdap.nic.ally/
.alsace,generic,REGION GRAND EST,https://rdap.nic.alsace/
.alstom,generic,ALSTOM,https://rdap.nic.alstom/
.am,country-code,"""Internet Society"" Non-governmental Organization",
.amazon,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/amazon/
.americanexpress,generic,"American Express Travel Related Services Company, Inc.",https://rdap.nic.americanexpress/
.americanfamily,generic,"AmFam, Inc.",https://rdap.nic.americanfamily/
.amex,generic,"American Express Travel Related Services Company, Inc.",https://rdap.nic.amex/
.amfam,generic,"AmFam, Inc.",https://rdap.nic.amfam/
.amica,generic,Amica Mutual Insurance Company,https://rdap.nic.amica/
.amsterdam,generic,Gemeente Amsterdam,https://rdap.nic.amsterdam/
.an,country-code,Not assigned,
.analytics,generic,Campus IP LLC,https://rdap.nic.analytics/
.android,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.anquan,generic,QIHOO 360 TECHNOLOGY CO. LTD.,https://rdap.teleinfo.cn/
.anz,generic,Australia and New Zealand Banking Group Limited,https://rdap.nic.anz/
.ao,country-code,Ministry of Telecommunications and Information Technologies (MTTI),
.aol,generic,Yahoo Inc.,https://rdap.identitydigital.services/rdap/
.apartments,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.app,generic,Charleston Road Registry Inc.,https://pubapi.registry.google/rdap/
.apple,generic,Apple Inc.,https://rdap.identitydigital.services/rdap/
.aq,country-code,Antarctica Network Information Centre Limited,
.aquarelle,generic,Aquarelle.com,https://rdap.nic.aquarelle/
.ar,country-code,"Presidencia de la Nación , Secretaría Legal y Técnica",https://rdap.nic.ar/
.arab,generic,League of Arab States,https://rdap.nic.arab/
.aramco,generic,Aramco Services Company,https://rdap.nic.aramco/
.archi,generic,Identity Digital Limited,https://rdap.identitydigital.services/rdap/
.army,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.arpa,infrastructure,Internet Architecture Board (IAB),
.art,generic,UK Creative Ideas Limited,https://rdap.centralnic.com/art/
.arte,generic,Association Relative à la Télévision Européenne G.E.I.E.,https://rdap.identitydigital.services/rdap/
.as,country-code,AS Domain Registry,
.asda,generic,Asda Stores Limited,https://rdap.identitydigital.services/rdap/
.asia,sponsored,DotAsia Organisation Ltd.,https://rdap.identitydigital.services/rdap/
.associates,generic,"Binky Moon, LLC",https://rdap.identitydigital.services/rdap/
.at,country-code,nic.at GmbH,
.athleta,generic,"The Gap, Inc.",https://rdap.nic.athleta/
.attorney,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.au,country-code,.au Domain Administration (auDA),
.auction,generic,"Dog Beach, LLC",https://rdap.identitydigital.services/rdap/
.audi,generic,AUDI Aktiengesellschaft,https://rdap.identitydigital.services/rdap/
.audible,generic,"Amazon Registry Services, Inc.",https://rdap.nominet.uk/audible/
.audio,generic,XYZ.COM LLC,https://rdap.centralnic.com/audio/
